competition,sport,athlete_name,country,score,relative_score,strength,gold_prob,silver_prob,bronze_prob,medal_prob
Four-Man Bobsled,Bobsleigh,Francesco Friedrich,GER,800.0,0,1.0,0.1795,0.1635,0.1499,0.4929
Four-Man Bobsled,Bobsleigh,Johannes Lochner,GER,750.0,0,0.8789,0.1634,0.1488,0.1444,0.4566
Four-Man Bobsled,Bobsleigh,Adam Edelman,GER,700.0,0,0.7656,0.1418,0.1388,0.1306,0.4112
Four-Man Bobsled,Bobsleigh,Benjamin Maier,AUT,650.0,0,0.6602,0.1199,0.1203,0.1198,0.36
Four-Man Bobsled,Bobsleigh,Brad Hall,GBR,600.0,0,0.5625,0.1001,0.1064,0.1113,0.3178
Four-Man Bobsled,Bobsleigh,Christoph Hafer,GER,550.0,0,0.4727,0.086,0.0957,0.0928,0.2745
Four-Man Bobsled,Bobsleigh,Hunter Church,USA,500.0,0,0.3906,0.0714,0.0754,0.0835,0.2303
Four-Man Bobsled,Bobsleigh,Frank Delduca,USA,450.0,0,0.3164,0.0521,0.0638,0.0702,0.1861
Four-Man Bobsled,Bobsleigh,Justin Kripps,CAN,400.0,0,0.25,0.0487,0.0496,0.0543,0.1526
Four-Man Bobsled,Bobsleigh,Oskars Kibermanis,LAT,350.0,0,0.1914,0.0371,0.0377,0.0432,0.118
Men's 10000m,Speed Skating,Davide Ghiotto,ITA,100.0,0,1.0,0.3197,0.2434,0.179,0.7421
Men's 10000m,Speed Skating,Metoděj Jílek,CZE,80.0,0,0.64,0.208,0.2022,0.176,0.5862
Men's 10000m,Speed Skating,Sander Eitrem,NOR,60.0,0,0.36,0.1246,0.1272,0.1395,0.3913
Men's 10000m,Speed Skating,Beau Snellink,NED,50.0,0,0.25,0.0784,0.0972,0.1082,0.2838
Men's 10000m,Speed Skating,Graeme Fish,CAN,45.0,0,0.2025,0.0648,0.0772,0.0916,0.2336
Men's 10000m,Speed Skating,Chris Huizinga,NED,40.0,0,0.16,0.0494,0.0647,0.0744,0.1885
Men's 10000m,Speed Skating,Casey Dawson,USA,36.0,0,0.1296,0.0415,0.0488,0.0618,0.1521
Men's 10000m,Speed Skating,Bart Swings,BEL,32.0,0,0.1024,0.0337,0.0392,0.0494,0.1223
Men's 10000m,Speed Skating,Michele Malfatti,ITA,29.0,0,0.0841,0.0255,0.0315,0.0397,0.0967
Men's 10000m,Speed Skating,Ted-Jan Bloemen,CAN,26.0,0,0.0676,0.02,0.0259,0.0294,0.0753
Men's 10000m,Speed Skating,Patrick Beckert,GER,24.0,0,0.0576,0.0193,0.0232,0.0295,0.072
Men's 10000m,Speed Skating,Marcel Bosker,NED,22.0,0,0.0484,0.0151,0.0195,0.0215,0.0561
Men's 1000m,Speed Skating,Jordan Stolz,USA,500.0,0,1.0,0.2672,0.209,0.1708,0.647
Men's 1000m,Speed Skating,Jenning De Boo,NED,420.0,0,0.7056,0.1837,0.1746,0.1612,0.5195
Men's 1000m,Short Track Speed Skating,William Dandjinou,CAN,800.0,0,1.0,0.1764,0.1579,0.1486,0.4829
Men's 1000m,Short Track Speed Skating,Pietro Sighel,ITA,750.0,0,0.8789,0.1558,0.1438,0.131,0.4306
Men's 1000m,Short Track Speed Skating,Park Ji-won,KOR,700.0,0,0.7656,0.1309,0.1346,0.1262,0.3917
Men's 1000m,Short Track Speed Skating,Hwang Dae-heon,KOR,650.0,0,0.6602,0.1151,0.1121,0.1115,0.3387
Men's 1000m,Speed Skating,Cooper Mcleod,USA,307.0,0,0.377,0.0989,0.1109,0.1121,0.3219
Men's 1000m,Short Track Speed Skating,Sebastien Lepape,FRA,600.0,0,0.5625,0.0929,0.104,0.1093,0.3062
Men's 1000m,Speed Skating,Kjeld Nuis,NED,290.0,0,0.3364,0.0877,0.1006,0.1017,0.29
Men's 1000m,Short Track Speed Skating,Liu Shaolin Sandor,HUN,550.0,0,0.4727,0.0867,0.0811,0.0866,0.2544
Men's 1000m,Short Track Speed Skating,Ren Ziwei,CHN,500.0,0,0.3906,0.0654,0.0733,0.0782,0.2169
Men's 1000m,Speed Skating,Zhongyan Ning,CHN,251.0,0,0.252,0.0638,0.0777,0.0699,0.2114
Men's 1000m,Short Track Speed Skating,Liu Shaoang,HUN,450.0,0,0.3164,0.0571,0.0619,0.0629,0.1819
Men's 1000m,Short Track Speed Skating,Steven Dubois,CAN,400.0,0,0.25,0.0474,0.0491,0.0507,0.1472
Men's 1000m,Speed Skating,Tim Prins,NED,193.0,0,0.149,0.041,0.043,0.0499,0.1339
Men's 1000m,Speed Skating,Marten Liiv,EST,188.0,0,0.1414,0.0395,0.0404,0.0426,0.1225
Men's 1000m,Short Track Speed Skating,Pascal Dion,CAN,350.0,0,0.1914,0.0343,0.0373,0.0445,0.1161
Men's 1000m,Speed Skating,Ryota Kojima,JPN,155.0,0,0.0961,0.0279,0.0291,0.0363,0.0933
Men's 1000m,Speed Skating,Damian Żurek,POL,163.0,0,0.1063,0.0275,0.0301,0.0368,0.0944
Men's 1000m,Speed Skating,Laurent Dubreuil,CAN,162.0,0,0.105,0.0251,0.0331,0.036,0.0942
