country,sport,competition,expected_gold,expected_silver,expected_bronze,expected_total,top_athlete,top_athlete_gold_prob
GER,Bobsleigh,Two-Woman Bobsled,0.571,0.556,0.543,1.67,Laura Nolte,0.212
GER,Bobsleigh,Women's Monobob,0.571,0.556,0.54,1.667,Laura Nolte,0.212
GER,Bobsleigh,Four-Man Bobsled,0.569,0.546,0.523,1.639,Francesco Friedrich,0.184
GER,Bobsleigh,Two-Man Bobsled,0.568,0.548,0.523,1.638,Francesco Friedrich,0.182
GER,Luge,Women's Singles Luge,0.538,0.526,0.517,1.581,Julia Taubitz,0.24
NED,Speed Skating,Women's 5000m,0.589,0.529,0.45,1.569,Joy Beune,0.32
JPN,Snowboard,Men's Halfpipe,0.521,0.504,0.483,1.508,Yuto Totsuka,0.215
USA,Freestyle Skiing,Women's Dual Moguls,0.508,0.46,0.428,1.396,Jaelin Kauf,0.326
USA,Freestyle Skiing,Women's Moguls,0.507,0.461,0.426,1.394,Jaelin Kauf,0.326
NOR,Cross-Country Skiing,Men's Sprint,0.475,0.463,0.453,1.391,Johannes Hoesflot Klaebo,0.137
NOR,Cross-Country Skiing,Men's Skiathlon,0.47,0.461,0.452,1.384,Johannes Hoesflot Klaebo,0.137
NOR,Cross-Country Skiing,Men's 15km,0.471,0.459,0.45,1.381,Johannes Hoesflot Klaebo,0.139
NOR,Cross-Country Skiing,Men's 50km Mass Start,0.469,0.46,0.451,1.38,Johannes Hoesflot Klaebo,0.139
SUI,Alpine Skiing,Men's Downhill,0.491,0.429,0.383,1.304,Marco Odermatt,0.304
CHN,Freestyle Skiing,Women's Aerials,0.433,0.428,0.42,1.281,Xu Mengtao,0.195
GER,Luge,Men's Singles Luge,0.447,0.426,0.4,1.273,Felix Loch,0.207
CHN,Freestyle Skiing,Men's Aerials,0.434,0.42,0.408,1.262,Qi Guangpu,0.202
SUI,Alpine Skiing,Men's Super-G,0.46,0.391,0.341,1.191,Marco Odermatt,0.311
