competition,sport,athlete_name,country,score,relative_score,strength,gold_prob,silver_prob,bronze_prob,medal_prob
Four-Man Bobsled,Bobsleigh,Justin Kripps,CAN,400.0,0,0.25,1.0,0.0,0.0,1.0
Four-Man Bobsled,Bobsleigh,Francesco Friedrich,GER,800.0,0,1.0,0.0,0.0,0.0,0.0
Four-Man Bobsled,Bobsleigh,Johannes Lochner,GER,750.0,0,0.8789,0.0,0.0,0.0,0.0
Four-Man Bobsled,Bobsleigh,Adam Edelman,GER,700.0,0,0.7656,0.0,0.0,0.0,0.0
Four-Man Bobsled,Bobsleigh,Benjamin Maier,AUT,650.0,0,0.6602,0.0,0.0,0.0,0.0
Four-Man Bobsled,Bobsleigh,Brad Hall,GBR,600.0,0,0.5625,0.0,0.0,0.0,0.0
Four-Man Bobsled,Bobsleigh,Christoph Hafer,GER,550.0,0,0.4727,0.0,0.0,1.0,1.0
Four-Man Bobsled,Bobsleigh,Hunter Church,USA,500.0,0,0.3906,0.0,0.0,0.0,0.0
Four-Man Bobsled,Bobsleigh,Frank Delduca,USA,450.0,0,0.3164,0.0,1.0,0.0,1.0
Four-Man Bobsled,Bobsleigh,Oskars Kibermanis,LAT,350.0,0,0.1914,0.0,0.0,0.0,0.0
Men's 10000m,Speed Skating,Beau Snellink,NED,50.0,0,0.25,1.0,0.0,0.0,1.0
Men's 10000m,Speed Skating,Davide Ghiotto,ITA,100.0,0,1.0,0.0,1.0,0.0,1.0
Men's 10000m,Speed Skating,Metoděj Jílek,CZE,80.0,0,0.64,0.0,0.0,0.0,0.0
Men's 10000m,Speed Skating,Sander Eitrem,NOR,60.0,0,0.36,0.0,0.0,0.0,0.0
Men's 10000m,Speed Skating,Graeme Fish,CAN,45.0,0,0.2025,0.0,0.0,0.0,0.0
Men's 10000m,Speed Skating,Chris Huizinga,NED,40.0,0,0.16,0.0,0.0,0.0,0.0
Men's 10000m,Speed Skating,Casey Dawson,USA,36.0,0,0.1296,0.0,0.0,1.0,1.0
Men's 10000m,Speed Skating,Bart Swings,BEL,32.0,0,0.1024,0.0,0.0,0.0,0.0
Men's 10000m,Speed Skating,Michele Malfatti,ITA,29.0,0,0.0841,0.0,0.0,0.0,0.0
Men's 10000m,Speed Skating,Ted-Jan Bloemen,CAN,26.0,0,0.0676,0.0,0.0,0.0,0.0
Men's 10000m,Speed Skating,Patrick Beckert,GER,24.0,0,0.0576,0.0,0.0,0.0,0.0
Men's 10000m,Speed Skating,Marcel Bosker,NED,22.0,0,0.0484,0.0,0.0,0.0,0.0
Men's 1000m,Short Track Speed Skating,Pietro Sighel,ITA,750.0,0,0.8789,1.0,0.0,0.0,1.0
Men's 1000m,Speed Skating,Jordan Stolz,USA,500.0,0,1.0,1.0,0.0,0.0,1.0
Men's 1000m,Short Track Speed Skating,William Dandjinou,CAN,800.0,0,1.0,0.0,0.0,0.0,0.0
Men's 1000m,Short Track Speed Skating,Park Ji-won,KOR,700.0,0,0.7656,0.0,1.0,0.0,1.0
Men's 1000m,Short Track Speed Skating,Hwang Dae-heon,KOR,650.0,0,0.6602,0.0,0.0,0.0,0.0
Men's 1000m,Short Track Speed Skating,Sebastien Lepape,FRA,600.0,0,0.5625,0.0,0.0,0.0,0.0
Men's 1000m,Short Track Speed Skating,Liu Shaolin Sandor,HUN,550.0,0,0.4727,0.0,0.0,0.0,0.0
Men's 1000m,Short Track Speed Skating,Ren Ziwei,CHN,500.0,0,0.3906,0.0,0.0,0.0,0.0
Men's 1000m,Short Track Speed Skating,Liu Shaoang,HUN,450.0,0,0.3164,0.0,0.0,0.0,0.0
Men's 1000m,Short Track Speed Skating,Steven Dubois,CAN,400.0,0,0.25,0.0,0.0,1.0,1.0
Men's 1000m,Short Track Speed Skating,Pascal Dion,CAN,350.0,0,0.1914,0.0,0.0,0.0,0.0
Men's 1000m,Short Track Speed Skating,Luca Spechenhauser,ITA,300.0,0,0.1406,0.0,0.0,0.0,0.0
Men's 1000m,Short Track Speed Skating,Oleh Handei,UKR,250.0,0,0.0977,0.0,0.0,0.0,0.0
Men's 1000m,Speed Skating,Jenning De Boo,NED,420.0,0,0.7056,0.0,0.0,0.0,0.0
Men's 1000m,Speed Skating,Cooper Mcleod,USA,307.0,0,0.377,0.0,0.0,0.0,0.0
Men's 1000m,Speed Skating,Kjeld Nuis,NED,290.0,0,0.3364,0.0,0.0,0.0,0.0
Men's 1000m,Speed Skating,Zhongyan Ning,CHN,251.0,0,0.252,0.0,0.0,0.0,0.0
Men's 1000m,Speed Skating,Tim Prins,NED,193.0,0,0.149,0.0,0.0,0.0,0.0
Men's 1000m,Speed Skating,Marten Liiv,EST,188.0,0,0.1414,0.0,0.0,1.0,1.0
Men's 1000m,Speed Skating,Damian Żurek,POL,163.0,0,0.1063,0.0,0.0,0.0,0.0
Men's 1000m,Speed Skating,Laurent Dubreuil,CAN,162.0,0,0.105,0.0,0.0,0.0,0.0
Men's 1000m,Speed Skating,Joep Wennemars,NED,158.0,0,0.0999,0.0,0.0,0.0,0.0
Men's 1000m,Speed Skating,Ryota Kojima,JPN,155.0,0,0.0961,0.0,0.0,0.0,0.0
Men's 1000m,Speed Skating,Taiyo Nonomura,JPN,130.0,0,0.0676,0.0,0.0,0.0,0.0
Men's 1000m,Speed Skating,Tatsuya Shinhama,JPN,130.0,0,0.0676,0.0,0.0,0.0,0.0
Men's 1000m,Speed Skating,Moritz Klein,GER,124.0,0,0.0615,0.0,0.0,0.0,0.0
Men's 1000m,Speed Skating,Min-Seok Kim,HUN,116.0,0,0.0538,0.0,0.0,0.0,0.0
Men's 1000m,Speed Skating,Stefan Emele,GER,99.0,0,0.0392,0.0,0.0,0.0,0.0
Men's 1000m,Speed Skating,Zach Stoppelmoor,USA,87.0,0,0.0303,0.0,0.0,0.0,0.0
Men's 1000m,Speed Skating,Connor Howe,CAN,85.0,0,0.0289,0.0,0.0,0.0,0.0
Men's 1000m,Speed Skating,Mathias Vosté,BEL,68.0,0,0.0185,0.0,0.0,0.0,0.0
Men's 1000m,Speed Skating,Marek Kania,POL,58.0,0,0.0135,0.0,0.0,0.0,0.0
Men's 1000m,Speed Skating,Hendrik Dombek,GER,58.0,0,0.0135,0.0,0.0,0.0,0.0
Men's 1000m,Speed Skating,Ziwen Lian,CHN,40.0,0,0.0064,0.0,1.0,0.0,1.0
Men's 1000m,Speed Skating,David Bosa,ITA,37.0,0,0.0055,0.0,0.0,0.0,0.0
Men's 1000m,Speed Skating,Masaya Yamada,JPN,32.0,0,0.0041,0.0,0.0,0.0,0.0
Men's 1000m,Speed Skating,Peder Kongshaug,NOR,29.0,0,0.0034,0.0,0.0,0.0,0.0
Men's 1000m,Speed Skating,Piotr Michalski,POL,20.0,0,0.0016,0.0,0.0,0.0,0.0
Men's 1000m,Speed Skating,Tijmen Snel,NED,16.0,0,0.001,0.0,0.0,0.0,0.0
Men's 1000m,Speed Skating,Finn Sonnekalb,GER,15.0,0,0.0009,0.0,0.0,0.0,0.0
Men's 1000m,Speed Skating,Sanghyeok Cho,KOR,14.0,0,0.0008,0.0,0.0,0.0,0.0
Men's 1000m,Speed Skating,Kazuya Yamada,JPN,12.0,0,0.0006,0.0,0.0,0.0,0.0
Men's 10km Sprint,Biathlon,Tommaso Giacomel,ITA,767.0,0,1.0,1.0,0.0,0.0,1.0
Men's 10km Sprint,Biathlon,Eric Perrot,FRA,744.0,0,0.9409,0.0,0.0,0.0,0.0
Men's 10km Sprint,Biathlon,Sebastian Samuelsson,SWE,640.0,0,0.6963,0.0,0.0,0.0,0.0
Men's 10km Sprint,Biathlon,Johan-Olav Botn,NOR,589.0,0,0.5897,0.0,0.0,0.0,0.0
Men's 10km Sprint,Biathlon,Johannes Dale-Skjevdal,NOR,501.0,0,0.4267,0.0,0.0,0.0,0.0
Men's 10km Sprint,Biathlon,Quentin Fillon Maillet,FRA,481.0,0,0.3933,0.0,0.0,0.0,0.0
Men's 10km Sprint,Biathlon,Martin Ponsiluoma,SWE,476.0,0,0.3851,0.0,0.0,0.0,0.0
Men's 10km Sprint,Biathlon,Emilien Jacquelin,FRA,445.0,0,0.3366,0.0,0.0,1.0,1.0
Men's 10km Sprint,Biathlon,Vetle Sjastad Christiansen,NOR,429.0,0,0.3128,0.0,0.0,0.0,0.0
Men's 10km Sprint,Biathlon,Sturla Holm Laegreid,NOR,404.0,0,0.2774,0.0,0.0,0.0,0.0
Men's 10km Sprint,Biathlon,Philipp Nawrath,GER,385.0,0,0.252,0.0,0.0,0.0,0.0
Men's 10km Sprint,Biathlon,Martin Uldal,NOR,359.0,0,0.2191,0.0,0.0,0.0,0.0
Men's 10km Sprint,Biathlon,Campbell Wright,USA,339.0,0,0.1953,0.0,0.0,0.0,0.0
Men's 10km Sprint,Biathlon,Isak Frey,NOR,306.0,0,0.1592,0.0,0.0,0.0,0.0
Men's 10km Sprint,Biathlon,Lukas Hofer,ITA,295.0,0,0.1479,0.0,0.0,0.0,0.0
Men's 10km Sprint,Biathlon,Fabien Claude,FRA,284.0,0,0.1371,0.0,0.0,0.0,0.0
Men's 10km Sprint,Biathlon,Philipp Horn,GER,274.0,0,0.1276,0.0,0.0,0.0,0.0
Men's 10km Sprint,Biathlon,Tarjei Boe,NOR,260.0,0,0.1149,0.0,0.0,0.0,0.0
Men's 10km Sprint,Biathlon,Johannes Thingnes Boe,NOR,250.0,0,0.1062,0.0,0.0,0.0,0.0
Men's 10km Sprint,Biathlon,Jakov Fak,SLO,240.0,0,0.0979,0.0,0.0,0.0,0.0
Men's 10km Sprint,Biathlon,Justus Strelow,GER,230.0,0,0.0899,0.0,0.0,0.0,0.0
Men's 10km Sprint,Biathlon,Simon Eder,AUT,220.0,0,0.0823,0.0,0.0,0.0,0.0
Men's 10km Sprint,Biathlon,Florent Claude,BEL,210.0,0,0.075,0.0,0.0,0.0,0.0
Men's 10km Sprint,Biathlon,Benedikt Doll,GER,200.0,0,0.068,0.0,1.0,0.0,1.0
Men's 10km Sprint,Biathlon,Dmytro Pidruchnyi,UKR,190.0,0,0.0614,0.0,0.0,0.0,0.0
Men's 10km Sprint,Biathlon,Sivert Guttorm Bakken,NOR,180.0,0,0.0551,0.0,0.0,0.0,0.0
Men's 10km Sprint,Biathlon,Felix Leitner,AUT,170.0,0,0.0491,0.0,0.0,0.0,0.0
