country,sport,competition,expected_gold,expected_silver,expected_bronze,expected_total,top_athlete,top_athlete_gold_prob
AUT,Ski Jumping,Men's Normal Hill Individual,0.0,1.0,1.0,2.0,Stefan Kraft,0.0
AUT,Luge,Men's Singles Luge,1.0,0.0,1.0,2.0,Wolfgang Kindl,1.0
CAN,Short Track Speed Skating,Women's 500m,0.0,1.0,1.0,2.0,Courtney Sarault,0.0
GER,Luge,Women's Singles Luge,1.0,1.0,0.0,2.0,Julia Taubitz,1.0
GER,Bobsleigh,Two-Man Bobsled,0.0,1.0,1.0,2.0,Francesco Friedrich,0.0
GER,Bobsleigh,Two-Woman Bobsled,1.0,1.0,0.0,2.0,Lisa Buckwitz,1.0
GER,Bobsleigh,Women's Monobob,0.0,1.0,1.0,2.0,Laura Nolte,0.0
GER,Skeleton,Women's Skeleton,0.0,1.0,1.0,2.0,Tina Hermann,0.0
ITA,Alpine Skiing,Women's Super-G,1.0,1.0,0.0,2.0,Federica Brignone,1.0
ITA,Biathlon,Men's 12.5km Pursuit,1.0,0.0,1.0,2.0,Tommaso Giacomel,1.0
JPN,Ski Jumping,Women's Normal Hill Individual,1.0,1.0,0.0,2.0,Nozomi Maruyama,1.0
JPN,Snowboard,Men's Halfpipe,0.0,1.0,1.0,2.0,Yuto Totsuka,0.0
KOR,Short Track Speed Skating,Women's 1500m,1.0,0.0,1.0,2.0,Choi Min-jeong,1.0
NED,Speed Skating,Women's 500m,1.0,0.0,1.0,2.0,Suzanne Schulting,1.0
NED,Speed Skating,Women's 5000m,1.0,0.0,1.0,2.0,Joy Beune,1.0
NOR,Alpine Skiing,Men's Super-G,1.0,1.0,0.0,2.0,Fredrik Moeller,1.0
NOR,Cross-Country Skiing,Men's Team Sprint,1.0,1.0,0.0,2.0,Team Norway,1.0
NOR,Cross-Country Skiing,Men's Sprint,0.0,1.0,1.0,2.0,Oskar Opstad Vike,0.0
NOR,Cross-Country Skiing,Men's 15km,1.0,0.0,1.0,2.0,Even Northug,1.0
NOR,Cross-Country Skiing,Women's Skiathlon,1.0,1.0,0.0,2.0,Astrid Oeyre Slind,1.0
SLO,Ski Jumping,Women's Large Hill Individual,1.0,1.0,0.0,2.0,Nika Vodan,1.0
USA,Freestyle Skiing,Women's Moguls,1.0,1.0,0.0,2.0,Jaelin Kauf,1.0
USA,Freestyle Skiing,Men's Slopestyle,1.0,0.0,1.0,2.0,Mac Forehand,1.0
AIN,Biathlon,Women's 15km Individual,0.0,1.0,0.0,1.0,Daria Krykova-Budasheva,0.0
ALB,Alpine Skiing,Women's Giant Slalom,1.0,0.0,0.0,1.0,Lara Colturi,1.0
AUS,Freestyle Skiing,Men's Moguls,0.0,1.0,0.0,1.0,Matt Graham,0.0
